Cap_Shape,Cap_Surface,Cap_Colour,Bruises,Odour,Gill_Attachment,Gill_Spacing,Gill_Size,Gill_Colour,Stalk_Shape,Stalk_Root,Stalk_Surface_Above_Ring,Stalk_Surface_Below_Ring,Stalk_Colour_Above_Ring,Stalk_Colour_Below_Ring,Veil_Type,Veil_Colour,Ring_Number,Ring_Type,Spore_Print_Colour,Population,Habitat,Class
Convex,Smooth,Brown,Bruises,Pungent,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Urban,Poisonous
Convex,Smooth,Yellow,Bruises,Almond,Free,Closed,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Numerous,Grasses,Edible
Bell,Smooth,White,Bruises,Anise,Free,Closed,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Numerous,Meadows,Edible
Convex,Scaly,White,Bruises,Pungent,Free,Closed,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Urban,Poisonous
Convex,Smooth,Gray,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Convex,Scaly,Yellow,Bruises,Almond,Free,Closed,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Numerous,Grasses,Edible
Bell,Smooth,White,Bruises,Almond,Free,Closed,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Numerous,Meadows,Edible
Bell,Scaly,White,Bruises,Anise,Free,Closed,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Meadows,Edible
Convex,Scaly,White,Bruises,Pungent,Free,Closed,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Several,Grasses,Poisonous
Bell,Smooth,Yellow,Bruises,Almond,Free,Closed,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Meadows,Edible
Convex,Scaly,Yellow,Bruises,Anise,Free,Closed,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Numerous,Grasses,Edible
Convex,Scaly,Yellow,Bruises,Almond,Free,Closed,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Meadows,Edible
Bell,Smooth,Yellow,Bruises,Almond,Free,Closed,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Grasses,Edible
Convex,Scaly,White,Bruises,Pungent,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Urban,Poisonous
Convex,Fibrous,Brown,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Sunken,Fibrous,Gray,No Bruises,No Odour,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Solitary,Urban,Edible
Flat,Fibrous,White,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Convex,Smooth,Brown,Bruises,Pungent,Free,Closed,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Grasses,Poisonous
Convex,Scaly,White,Bruises,Pungent,Free,Closed,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Urban,Poisonous
Convex,Smooth,Brown,Bruises,Pungent,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Urban,Poisonous
Bell,Smooth,Yellow,Bruises,Almond,Free,Closed,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Meadows,Edible
Convex,Scaly,Brown,Bruises,Pungent,Free,Closed,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Grasses,Poisonous
Bell,Scaly,Yellow,Bruises,Anise,Free,Closed,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Meadows,Edible
Bell,Scaly,White,Bruises,Almond,Free,Closed,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Numerous,Meadows,Edible
Bell,Smooth,White,Bruises,Anise,Free,Closed,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Meadows,Edible
Flat,Smooth,White,Bruises,Pungent,Free,Closed,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Grasses,Poisonous
Convex,Scaly,Yellow,Bruises,Almond,Free,Closed,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Numerous,Meadows,Edible
Convex,Scaly,White,Bruises,Anise,Free,Closed,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Numerous,Meadows,Edible
Flat,Fibrous,Brown,No Bruises,No Odour,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Solitary,Urban,Edible
